home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
76.16666666666667,79.16666666666667,2,0.5,0.0,-3.0,97.2,70.6,4,0.75,1.0,26.6,0,173.36666666666667,-29.60000000000001,174,8,401828339,2025-11-25,2026,198,338
90.6,63.8,5,1.0,1.0,26.8,67.33333333333333,60.0,3,1.0,0.3333333333333333,7.333333333333333,0,157.93333333333334,19.46666666666667,141,-3,401830888,2025-11-25,2026,2335,119
76.33333333333333,63.333333333333336,3,1.0,0.0,13.0,80.0,58.2,4,1.0,0.0,21.8,0,156.33333333333331,-8.800000000000004,131,11,401817482,2025-11-25,2026,2305,183
65.4,86.2,1,0.5,0.2,-20.8,69.8,86.4,1,0.5,0.0,-16.6,1,135.2,-4.199999999999989,147,13,401822393,2025-11-25,2026,2815,140
101.2,68.4,4,1.0,0.5,32.8,86.0,74.0,3,0.75,0.5,12.0,0,187.2,20.799999999999997,134,10,401808730,2025-11-25,2026,2377,2393
76.66666666666667,71.0,3,1.0,0.4,5.666666666666667,76.5,68.83333333333333,3,1.0,0.3333333333333333,7.666666666666667,0,153.16666666666669,-2.0,121,-15,401831237,2025-11-25,2026,294,279
80.4,69.4,3,0.75,0.0,11.0,72.66666666666667,82.83333333333333,3,1.0,0.4,-10.166666666666666,1,153.06666666666666,21.166666666666657,136,-14,401812357,2025-11-25,2026,2623,112358
94.4,77.4,5,1.0,1.0,17.0,75.0,57.833333333333336,5,1.0,1.0,17.166666666666668,0,169.4,-0.1666666666666643,164,2,401831196,2025-11-25,2026,30,2550
88.4,68.8,5,1.0,0.5,19.6,65.83333333333333,76.5,1,0.0,0.2,-10.666666666666666,1,154.23333333333335,30.26666666666668,173,53,401813401,2025-11-25,2026,194,116
88.0,63.2,5,1.0,0.5,24.8,78.4,68.0,5,1.0,0.5,10.4,0,166.4,14.399999999999991,155,15,401817198,2025-11-25,2026,153,179
79.83333333333333,68.16666666666667,3,1.0,0.0,11.666666666666666,71.83333333333333,68.0,3,0.8,0.0,3.8333333333333335,0,151.66666666666666,7.833333333333329,131,5,401817437,2025-11-25,2026,87,164
93.33333333333333,73.16666666666667,5,1.0,0.5,20.166666666666668,75.0,81.71428571428571,0,0.5,0.0,-6.714285714285714,1,168.33333333333331,26.880952380952365,161,17,401817458,2025-11-25,2026,2567,2515
87.5,76.83333333333333,3,0.6666666666666666,0.6666666666666666,10.666666666666666,76.5,66.83333333333333,3,0.75,0.5,9.666666666666666,0,164.0,1.0,145,-15,401830889,2025-11-25,2026,261,227
79.8,74.0,2,1.0,0.0,5.8,87.4,73.6,4,1.0,0.6666666666666666,13.8,0,167.2,-8.000000000000014,132,-30,401828284,2025-11-25,2026,23,202
